aX,aY,aZ,gX,gY,gZ
-0.926,-0.154,1.3,-64.392,-103.027,-58.167
-0.886,-0.206,1.147,-96.497,-103.149,-80.322
-0.881,-0.208,1.057,-106.201,-89.111,-89.478
-0.908,-0.184,1.055,-99.792,-63.293,-89.722
-0.909,-0.126,1.131,-86.243,-21.545,-86.67
-0.921,-0.11,1.201,-69.885,49.377,-84.778
-0.966,-0.094,1.242,-51.697,163.391,-74.463
-0.935,-0.093,1.25,-33.386,307.129,-48.767
-0.909,-0.115,1.193,-14.465,441.101,-18.127
-0.874,-0.085,1.155,4.272,544.495,11.475
-0.779,-0.041,1.114,20.081,613.831,28.503
-0.641,-0.05,1.028,28.32,663.818,25.696
-0.442,-0.074,0.912,38.391,704.529,18.982
-0.244,-0.122,0.804,60.547,736.572,18.982
0.001,-0.147,0.754,95.215,764.771,23.865
0.058,-0.165,0.733,147.522,806.213,39.673
0.164,-0.176,0.713,202.515,875.244,66.772
0.209,-0.15,0.666,255.981,951.843,92.041
0.27,-0.062,0.563,300.11,1005.493,112.793
0.358,0.007,0.381,322.571,1015.259,118.896
0.387,0.041,0.201,330.139,979.919,110.901
0.514,0.018,0.052,314.636,907.776,93.506
0.654,-0.04,-0.061,275.452,803.833,68.604
0.966,-0.107,-0.185,222.229,697.998,57.251
0.913,-0.223,-0.228,143.799,608.582,56.58
0.913,-0.242,-0.42,61.157,489.441,59.57
0.936,-0.296,-0.595,-8.24,332.825,52.429
0.893,-0.18,-0.765,-41.626,155.396,19.47
0.906,-0.031,-0.812,-59.021,33.936,18.25
0.904,-0.095,-0.745,-64.087,-41.748,47.058
0.8,-0.127,-0.669,-59.143,-94.238,53.589
