aX,aY,aZ,gX,gY,gZ
0.2,-0.005,0.825,-115.662,-16.052,-23.132
0.23,-0.008,0.809,-113.525,-3.967,-16.174
0.231,-0.006,0.774,-107.788,8.85,-4.089
0.214,0.013,0.737,-97.473,19.409,9.033
0.192,0.05,0.712,-84.839,25.208,19.653
0.167,0.087,0.703,-72.449,25.635,25.452
0.158,0.108,0.698,-60.791,21.24,26.001
0.175,0.118,0.684,-49.5,13.367,23.132
0.184,0.117,0.68,-36.377,3.906,20.02
0.159,0.116,0.703,-21.484,-4.517,17.944
0.122,0.12,0.754,-6.714,-11.292,14.16
-0.853,-1.993,0.402,773.132,-170.654,-209.717
-0.503,-2.116,0.77,717.896,-138.55,-218.872
-0.074,-2.274,1.284,642.456,-112.427,-225.952
0.386,-2.202,1.849,548.34,-113.647,-212.219
0.532,-2.072,2.323,442.993,-154.724,-177.429
0.597,-1.822,2.637,336.426,-205.688,-112.122
0.546,-1.638,2.763,241.516,-211.853,-28.198
0.361,-1.522,2.632,164.062,-147.766,42.236
0.077,-1.563,2.52,112,-43.762,80.444
-0.113,-1.623,2.259,103.76,33.203,88.623
-0.294,-1.565,2.018,72.205,82.825,94.238
-0.401,-1.455,1.871,10.681,104.004,113.342
-0.436,-1.366,1.806,-67.749,111.938,137.817
-0.381,-1.316,1.831,-152.344,121.46,154.48
-0.3,-1.321,1.893,-235.901,136.658,159.851
-0.226,-1.307,1.918,-315.186,156.677,163.086
-0.203,-1.258,1.873,-386.963,180.542,172.974
-0.244,-1.288,1.735,-450.378,206.604,187.378
-0.313,-1.275,1.46,-493.164,222.29,197.144
-0.369,-1.269,1.187,-517.151,219.91,191.772
-0.313,-1.214,0.932,-524.719,198.12,173.401
-0.254,-1.105,0.723,-525.208,164.49,148.071
-0.143,-0.986,0.598,-532.593,134.888,117.798
-0.06,-0.895,0.518,-541.016,114.197,92.59
0.056,-0.762,0.498,-544.189,99.365,82.825
0.153,-0.668,0.347,-529.236,87.402,82.275
0.236,-0.482,0.287,-515.015,71.411,82.886
0.3,-0.305,0.258,-499.573,51.453,83.313
0.338,-0.178,0.186,-475.464,31.494,84.656
0.26,-0.026,0.186,-437.378,19.043,89.539
0.22,0.163,0.193,-395.386,19.47,93.75
0.132,0.303,0.218,-356.384,24.475,89.233
0.141,0.417,0.173,-321.838,24.597,78.857
0.168,0.507,0.075,-289.856,15.93,65.552
0.179,0.553,-0.023,-254.15,-1.221,54.199
0.182,0.573,-0.091,-216.064,-21.057,50.598
0.145,0.593,-0.097,-179.26,-42.48,51.392
0.091,0.6,-0.057,-147.644,-61.401,48.035
0.053,0.565,-0.021,-120.972,-74.28,35.645
0.055,0.522,-0.001,-93.933,-79.407,18.677
0.063,0.477,0.004,-63.416,-74.768,2.563
0.064,0.439,-0.026,-26.245,-61.829,-11.536
0.065,0.401,-0.074,18.433,-45.898,-23.926
0.111,0.42,-0.1,66.223,-33.569,-33.997
0.133,0.428,-0.099,111.145,-30.64,-44.739
0.142,0.443,-0.109,151.55,-38.94,-52.673
0.177,0.452,-0.135,195.007,-60.608,-60.364
0.179,0.399,-0.173,243.591,-93.323,-73.242
0.168,0.349,-0.186,304.565,-132.812,-84.351
0.114,0.276,-0.161,366.455,-173.035,-91.492
0.007,0.149,-0.127,426.88,-203.735,-92.773
-0.133,0.002,-0.062,489.563,-222.168,-90.82
-0.333,-0.213,-0.062,554.932,-236.572,-91.553
-0.489,-0.541,-0.03,605.896,-249.023,-98.572
-0.614,-0.879,0.03,651.794,-261.047,-106.323
-0.714,-1.187,0.297,690.796,-264.465,-114.075
-0.869,-1.337,0.624,702.698,-250.916,-119.263
-0.78,-1.476,0.888,689.026,-212.402,-128.357
-0.423,-1.668,1.208,654.785,-150.94,-137.024
0.153,-1.741,1.691,599.67,-95.642,-128.784
0.457,-1.59,2.105,512.939,-79.041,-104.187
0.414,-1.424,2.251,427.429,-106.079,-60.608
0.2,-1.36,2.191,353.455,-134.033,-1.16
0.024,-1.338,2.113,278.992,-116.516,46.326
-0.187,-1.343,1.902,223.206,-60.608,68.298
-0.264,-1.248,1.7,184.57,3.235,71.167
-0.384,-1.208,1.517,156.067,33.325,60.608
-0.439,-1.143,1.393,118.042,24.292,50.049
-0.482,-1.113,1.324,64.758,0.916,45.593
-0.449,-1.089,1.304,10.742,-14.771,41.016
-0.351,-1.064,1.349,-38.879,-13.733,33.691
-0.25,-1.069,1.426,-84.717,-3.479,31.677
-0.156,-1.052,1.469,-128.906,11.353,40.527
-0.092,-0.999,1.494,-168.518,31.799,55.298
-0.027,-0.928,1.507,-201.843,57.495,71.533
0.037,-0.89,1.498,-227.112,86.182,84.29
0.015,-0.915,1.446,-241.699,113.831,89.539
-0.014,-0.852,1.312,-250.244,134.399,93.506
-0.083,-0.808,1.152,-260.62,146.545,94.788
-0.179,-0.784,1.022,-274.048,150.818,91.614
-0.255,-0.727,0.905,-287.17,150.208,85.571
-0.252,-0.625,0.798,-296.265,146.667,77.698
-0.214,-0.528,0.71,-301.697,137.39,66.284
-0.168,-0.449,0.651,-305.42,120.422,51.941
-0.1,-0.39,0.609,-306.641,97.595,38.391
-0.038,-0.354,0.589,-301.025,68.359,27.405
-0.008,-0.29,0.61,-290.466,36.194,19.043
0.014,-0.242,0.628,-275.208,9.705,9.155
0.058,-0.198,0.635,-254.639,-3.418,-2.869
0.091,-0.166,0.62,-228.516,-3.235,-14.465
0.125,-0.154,0.592,-194.885,3.052,-22.034
0.172,-0.114,0.581,-156.616,12.451,-24.353
0.182,-0.087,0.59,-120.056,23.376,-22.705
0.177,-0.045,0.593,-85.388,32.471,-17.578
0.177,-0.011,0.639,-58.777,36.621,-11.414
0.228,0.056,0.708,-46.692,35.034,-4.456
0.188,0.066,0.788,-51.575,29.785,0.61
